lawyer_category,specialization,primary_expertise,specific_issues_handled,legal_keywords
Cyber Law,Information Technology Law,data protection cyber security legal issues,"data protection, privacy law, cyber security, IT compliance, software licensing, digital rights, online privacy, technology disputes","cyber law, data protection, privacy law, IT compliance, software licensing, digital rights, online privacy, technology law, information technology"
Constitutional,Constitutional Law,constitutional matters fundamental rights,"constitutional challenges, fundamental rights, judicial review, constitutional interpretation, government actions, legislative challenges","constitutional law, fundamental rights, judicial review, constitutional interpretation, government law, legislative challenges, constitutional matters"
International,International Law,cross-border legal matters international disputes,"international contracts, cross-border disputes, international arbitration, trade disputes, diplomatic issues, international treaties","international law, cross border disputes, international arbitration, trade law, diplomatic law, international treaties, global legal matters"
Trade,Trade & Commerce Law,trade regulations commercial disputes,"trade agreements, commercial contracts, export-import law, trade disputes, commercial arbitration, business transactions, supply chain law","trade law, commercial law, export import, trade agreements, commercial contracts, business law, trade disputes, commercial arbitration"
Education,Education Law,educational rights academic disputes,"student rights, educational discrimination, academic appeals, school disputes, university matters, educational policies, scholarship issues","education law, student rights, academic disputes, educational discrimination, school law, university matters, educational policies"
Sports,Sports Law,sports regulations athlete rights,"sports contracts, athlete rights, sports governance, doping cases, sports arbitration, sponsorship disputes, sports injury compensation","sports law, athlete rights, sports contracts, sports governance, doping cases, sports arbitration, sponsorship law, sports disputes"
Entertainment,Entertainment Law,media entertainment industry legal matters,"film industry disputes, celebrity rights, music law, broadcasting rights, talent management, entertainment contracts, royalty issues","entertainment law, film industry, celebrity rights, music law, broadcasting rights, talent contracts, royalty law, media law"
Transportation,Transportation Law,transport regulations logistics law,"transport licensing, vehicle accidents, logistics disputes, aviation law, shipping law, transport regulations, traffic violations","transportation law, vehicle accidents, logistics law, aviation law, shipping law, transport regulations, traffic law, transport disputes"
Energy,Energy Law,energy sector regulations power disputes,"power sector disputes, renewable energy, oil and gas law, energy regulations, electricity law, energy contracts, mining law","energy law, power sector, renewable energy, oil gas law, energy regulations, electricity law, energy contracts, mining law"
Public Interest,Public Interest Law,social justice public welfare,"public interest litigation, social justice, welfare schemes, government accountability, transparency issues, right to information, public welfare","public interest law, social justice, welfare law, government accountability, transparency law, RTI, public welfare, social advocacy"
